,id,query,product_title,product_description,median_relevance
1865,1865,toaster oven,Hamilton Beach 31134 4 Slice Capacity Toaster Oven,"About Hamilton Beach One of the country's leading distributors of small kitchen appliances, Hamilton Beach Brands, Inc. sells over 35 million appliances every year. The company's most famous brands -- Hamilton Beach, Eclectrics, Proctor Silex, and TrueAir -- are found in households across America, Canada, and Mexico. Hamilton Beach takes immense pride in their product quality, wide variety of options, superior customer service, and brand name strength and remains committed to serving customers through Good Thinking applied to the style and function in all of their small electric appliances. 4-slice capacity toaster oven in metallic silver finish Convenient second oven - saves time and energy 30-minute cooking timer with ready bell and automatic shutoff Bake pan and broil rack included Overall dimensions: 15L x 9.5W x 8H inches",4
1866,1866,wii microphone,Nintendo Wii U BLACK Microphone BRAND NEW IN BOX - US seller,,4
1867,1867,batman,"Batman Wing Warrior Batman 10 Action Figure""","Meet one of the most heroic Batman figures in the entire line! Standing 10"" tall and loaded with enhanced features, this bold Batman Wing Warrior Batman Figure wears a stunning black and gold suit. Lights and sounds create more dynamic play options. Activate over ten phrases and sounds by pressing the 10"" action figure's utility belt buckle. See his bright Bat logo light up across his chest. Pull down on the Hasbro action figure's wings to reveal his huge wingspan - which has removable, covert weaponry!


Batman Wing Warrior Batman 10"" Action Figure:

    Stands 10"" tall and loaded with enhanced features
    Bold vigilante wears a stunning black and gold Batsuit with huge action wings
    Lights and sounds on this Hasbro action figure create more dynamic play options
    Activate over 10 phrases and sounds by pressing his utility belt buckle
    See his bright Bat logo light up across his chest
    Pull down on the figure's wings to reveal his huge wingspan
    Removable, covert weaponry
    Requires 3 AG13 (LR44) button cell batteries (included)",4
1868,1868,mac book air cover,"INSTEN Ocean Green Rubberized Rubber Hard Cover Case for Apple Macbook Air 13 A1466 A1369""","Snap-in Rubber Coated Case compatible with Apple MacBook Air 13-inch, Ocean Green
Quantity: 1
This snap-in rubber coated case compatible with Apple MacBook Air 13-inch will protect your laptop against dust and scratches
Durable protection has never looked cooler than when you snap your laptop into this rubber coated case
Extremely tough, durable case molds perfectly to your Apple Macbook Air's shape without compromising usability
Snap-in case adds a splash of color and delivers instant all-around protection
Provides easy access to all functions without removing the case
Color: Ocean Green
Material: Hard plastic case with rubber coating
Size: Perfect fit
Accessory ONLY; MacBook not included. Apple does not endorse use of these products
Apple, iPhone®, iPad®, iPod® are registered trademarks of Apple, Inc. Apple does not endorse use of these products.
Product names are trademark of listed manufacturer or other owners, and are not",4
1869,1869,wireless mouse,ROAD MICE HP-11FDSHSXB FORD(R) SHELBY(R) WIRELESS MOUSE (SILVER/BLUE),ROAD MICE HP-11FDSHSXB FORD(R) SHELBY(R) WIRELESS MOUSE (SILVER/BLUE),4
1870,1870,business badge holder,Rolodex Metal/Mesh Open Tray Business Card File Holder - Black,"Simple yet effective business card file keeps contacts at your fingertips with style. Contemporary mesh design. Includes 125 slotted cards and 12 A-Z guides. Card Holder Type: Open Tray Business Card File; Card Capacity: 125; For Card Size: 2 1/4"" x 4""; Color(s): Black.

    Dimensions: 2.2 "" H x 4.7 "" W

    Assembly Details: no assembly required",1
1871,1871,candle lantern,"28 Black Antique Vintage Style Pillar Candle Holder Lantern""","This decorative candle lantern adds an elegant touch to any room, making a perfect wedding centerpiece, anniversary celebration, holiday decorating or other special event",4
1872,1872,dress shirts,Holiday Editions Boy's Dress Shirt & Tie - Holiday Editions,"Take the stress out of prepping for picture day, or any other special event, with the convenience of this boy's dress shirt and tie set from Holiday Editions. This two-piece combo pairs a cotton-rich, collared dress shirt with an easy to wear clip-on tie for a classic look that will have your little guy looking his best.",4
1873,1873,button down shirt,George Career Essentials Women's Long Sleeve Core Button-Down Shirt,"George Mujeres camiseta de manga larga Core :
72% algodón / 24% poliéster / 4% elastano
Cierre de botón
Coloque collar plano
Manga larga con plackets botón
Dardos secundarios
Resistente a las arrugas
Lavar a máquina en frío / quitar la correa antes del lavado",4
1874,1874,vanity fair bras,Vanity Fair Everyday Printed Napkins 80 ct,"details

    Package Quantity: 80

    Material: Paper

    Dimensions: 13.0 "" L x 12.7 "" W

    Pattern: Solid

    Napkin Style: Dinner napkin",1
1875,1875,tablet accessories,Accessory Bundle for Nook HD+ 9 in. Tablet,The slim double fold folio case offers secure protection for your tablet while adding a range of versatile options. A soft inner liner and protective corners help safeguard the tablet against scratches and damage. The folio case offers an ideal way to protect your tablet wherever you go. Includes screen protector.,4
1876,1876,candle holders,Sterling Industries Medallion Scroll Candle Holders - Set of 2,"Material: Composite Weight: 5 Dimensions: 6""(l) x 6""(w) x 24""(h) Product Weight: 843558020591",4
1877,1877,toy trucks,Disney/Pixar Cars Mack Truck and Transporter,"Inspired by Disney Pixar Cars, this Mack Truck and Transporter delivers two big ways to play! As a transporter, Mack proudly carries Lightning McQueen to places near - like Radiator Springs - and far - like worldwide races. Then he parks his mega wheels and opens up to reveal multiple play areas inspired by the movies! Kick back in front of the big screen TV with Lightning McQueen and his trophies. Grab a scrub and massage in the washing area. Get tuned up to champion performance on the working lift. Check out the local scenery on the viewing deck and fill ‘er up at the gas pump. Mack’s cab can also be detached from the trailer for more push around play. When the day and night’s drives are done, roll Lightning McQueen inside and fold Mack back up for easy storage. This iconic set celebrates the special friendship between Mack and Lightning McQueen and connects to other play sets and accessories in the Story Sets line, so kids can build out the exciting world of Radiator Springs!
For ages 3 years and up.",3
1878,1878,led monitor,"Elo 2244L 22 LED Open-frame LCD Touchscreen Monitor - 16:9 - 14 ms""","The Elo TouchSystems 2244L open-frame LCD touchmonitor with its slim design and narrow outside dimensions gives kiosk integrators an edge in developing the most aesthetically pleasing products. Wide-aspect displays like the Elo 2244L are easier to use and incorporate than traditional open-frame touchmonitors. Wide-screen format displays allow extra content on the screen and are quickly becoming preferred in casino gaming, amusement and entertainment settings and are increasingly popular in public venue environments due to the high-definition cinematic-like experience. Typical applications for the 2244L include: gaming and amusement, information kiosks and self-service, as well as interactive digital signage applications.",4
1879,1879,boyfriend jeans,Mid-Rise Boyfriend Crop Jeans White - Mossimo,,4
1880,1880,duffle bag,Orla Kiely Rolling Duffle Small Cars  Multicolor (21),"Satisfy your wanderlust with this go anywhere Orla Kiely duffle. Features multiple carrying options: top handle, two carry handles, and a detatchable shoulder strap. Other features include a retractable handle, quality wheels, outer zip pocket, inner zip pocket, and printed lining.ABOUT THE DESIGNERFounded in 1995, the Orla Kiely brand has become synonymous with creative and inspirational design. With quality and functionality at its core, this creative world is driven by Orla's passion for pattern and colour while referencing the mid-century modernist era.",3
1881,1881,rechargable batteries,Rayovac Platinum battery - 9V - NiMH x 2,,2
1882,1882,laptop lenovo,Lenovo ThinkPad T540p 20BE - 15.6,,4
1883,1883,refrigirator,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer with Your Choice Microwave Oven Bundle,"Provide your college student with the basics for a dorm room with this Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer with RCA Microwave Value Bundle. It includes an energy-saving Igloo refrigerator and freezer combo that includes a built-in can holder and a tall bottle holder and slide-out shelves. The bundle also includes a 1,000 watt microwave oven with a glass turntable and 10 power settings. This Igloo 3.2 cu. ft. refrigerator and freezer combo is convenient for dorm rooms and studio apartments.",3
1884,1884,phillips coffee maker,Hamilton Beach FlexBrew 49983 - coffee machine with drip coffee maker,,3
1885,1885,screen protector samsung,INSTEN Clear Screen Protector For Samsung Galaxy Avant,"This is an INSTEN screen protector for Samsung Galaxy Avant. Protect your device LCD screen against dust and scratches with this accessory.

Quantity: 1
Easy-to-follow installation steps
Tough, durable, transparent surface
Self-adhering surface
Leaves no residue when removed
NOTE: Please apply the protector gently to avoid placing too much pressure on the screen

Compatibility:
Samsung Galaxy Avant

All rights reserved. All trade names are registered trademarks of respective manufacturers listed. SAMSUNG© is a registered trademark in the United States or other countries. Samsung© does not endorse use of these products.
California Proposition 65 WARNING: This product may contain one or more chemicals known to the State of California to cause cancer, birth defects, and/or other reproductive harm.",4
1886,1886,sports bra,Madison Sport Women's 'Mona' Racerback Sports Bra with Mesh Inserts,Never be held back while breaking a sweat in this super supportive racer back sports bra. Bright colors lend a trendy style with mesh inserts for a practical fit.,4
1887,1887,white plain dinner set,"(14) Colony Harvest DINNER PLATES Grapes Leaves White Milk Glass 9-3/4 Lot Set""",,4
1888,1888,bedspreads,"66- All For You 3PC quilt set, bedspread and coverlet- reversible",,3
1889,1889,hallmark wedding couple figurine,Fantastic Craft Bunny Couple Figurine,FNTC1906,1
1890,1890,car window sticker,Red Apple Crystal Rhinestone Sticker Bling Cute Sparkle Teacher Car Bumper Decal,"This Red Apple Crystal Rhinestone Auto Decal Bumper Sticker by MobileBling can be applied to any glass or plastic surface. Specifically made for the outside of your car, they are made to withstand the car wash and the elements. These stickers are removable and are great for car windows, laptops, tablets, e readers and more! Made with high quality rhinestones for deep bold colors and sparkling bling! Stickers are removable and reusable. Measures approximately 2"" x 2"". ** Not recommended for painted vehicle surfaces. **",3
1891,1891,table clock,Cheungs Table Clock,,4
1892,1892,converse high tops,Converse Chuck Taylor High Top Sneaker - Women's,Sport a classic style in the Converse Unisex Chuck Taylor High Top Sneaker.,4
1893,1893,flannel sheets,Micro Flannel 3-Piece Sheets Set: Queen Sheet Set Brick,"Luxuriously soft and warm our micro flannel sheet® sets combine the excellent comfort properties of high quality European cotton flannel with the easy care of polyester fleece-and all without bulk or weight! Micro flannel?? does not shrink, does not pill, and resists wrinkles. It is also energy saving as it is fast wash and quick dry. Thermal properties have been designed into this product so that it keeps you warm without overheating-wrapping you in a gentle cocoon of comfort. Extra-large flat sheets and deep pocket fitted sheets accommodate deep pocket mattresses with room to spare. Even the pillowcases have been made a little larger than the norm for that extra bit of elegance and comfort. Micro flannel is a registered trademark of Shavel Home Products/patent pending",4
1894,1894,thomas the train,Thomas the Train Printed Characters Cape-Style Hooded Towel,"Make bath time fun for your little one with this Thomas the Train hooded towel. Great for role play, this cape-style hooded towel features Thomas the Train printed on the body and hood, and is made from a super-soft all-cotton fabric.",3
1895,1895,kitchenaid mixer,Hamilton Beach Electrics 4.5-Quart Stand Mixer,Hamilton Beach Electrics 4.5-Quart Stand Mixer,3
1896,1896,projector,Panasonic Projector Lamp,220W UHM - 2000 Hour,4
1897,1897,light bulb,GE 41030 75-watt 1170-lumen A19 Basic General Purpose Light Bulb (12 Pack),"GE basic bulbs provide direct, unfiltered light for utility lighting and bare lamp sockets. With a medium screw base (E26) and a wattage of 75, this bulb is rated at 1125 hours of life.",4
1898,1898,converse low top,Girls' High-Low Graphic Tee,"Sizing: Kids (4-16)

Material: 55 % Cotton, 45 % Polyester

Neckline Style: Round

Sleeve Style: Short, Set in sleeve, Basic sleeve

Closure Style: Pullover

Garment Length: At hip

Care and Cleaning: Machine wash, cold, Non chlorine bleach when needed, Tumble dry, normal, low heat, Iron, low

Pattern: dyed pattern",1
1899,1899,spiderman,Spider-Man Small Car 6-Volt Battery-Powered Ride-On,"Give your little superhero fan a nice surprise with this
Spider-Man Small Car 6-Volt Battery-Powered Ride-On. It allows your child to zoom around the neighborhood in a small 6V engine that has a top speed of 2.5 miles per hour. This kids' ride-on features cool graphics and comes equipped with a horn. It can run for as long as eight hours and has a weight limit of 65 lbs.",3
1900,1900,bird seed feeder,Yankee Green Flipper Feeder,"The Flipper bird feeder features four feeding ports that are easily accessible via the perch ring. The feeder also comes with a unique mechanism that deters squirrels from accessing the bird seed. 

Materials: Polycarbonate/ metal
Quantity: One (1)
Color: Green
Setting: Outdoor
Dimensions: 21 inches long x 4.75 inches wide
Microban antimicrobial technology fights the growth of damaging bacteria, mold and mildew
The four feeding ports are easily accessible via the perch ring
The heavy metal cap fits snugly on the tube to prevent squirrels from lifting it to reach the seed
Weight capacity: 5 pounds",4
1901,1901,three wheeled bike,Mobo Tot Disney Frozen Ergonomic Three Wheeled Cruiser,This ergonomically-designed three-wheeled cruiser for toddlers ages 2-5 has an adjustable frame that grows with your child and lasts for years to come. Cruising outdoors on the Mobo Tot will stimulate their imagination. Parents can be at ease with its saf,3
1902,1902,sports bra,"Danskin Now - Front Close Plunge Sport Bra-Medium Impact, 2-pack",84% Poly 16% Spandex Machine wash cold separately or with like colors. Do not bleach. Tumble dry low. Remove promptly. Do not iron.,4
1903,1903,dean guitar,Dean Trans Am Trans Brazilaburst Electric Guitar -Free Shipping!,"eBay item number:400905776433


	Seller assumes all responsibility for this listing.
		
			
					<strong>Item specifics</strong>
					<table>
		<tr>
	     		<th>Condition:</th>
	     		<td><strong>New other (see details)</strong>
	     		<strong>:</strong>
	     			
						
							</td></tr></table>",4
1904,1904,cowboy boots,Girl's Cherokee Gregoria Cowboy Boot - Assorted Colors,"She’s going to love looking like a big girl in her Girl's Cherokee® Gregoria Cowboy Boot in assorted colors. These girl’s boots feature traditional cowboy boot styling with top stitching throughout the boot in a very familiar southwestern style. Designed for a child’s foot, there is a bit more width across the toebox for added comfort and the low block heel won’t trip her up. In addition, pull loops, a padded collar and tagless footbed add to the comfort. While the western boot styling is familiar and fun, it’s the addition of fresh, new colors that will really tickle your little girl’s fancy.",4
1905,1905,kitchen faucet,Kingston Brass GKB120 Kitchen Americana Faucet Double Handle ;Polished Chrome,"About this item
Product Features:
Faucet Type: Kitchen
Faucet Finish: Polished Chrome
Manufactured by Kingston Brass, Includes Full Warranty
Spout Height: 4.375""
Spout Reach: 7.125""
Height: 5.5""
Installation Type: Deck Mounted
Number of Handles: 2
Faucet Holes: 4
Handle Style: Wrist Blade
ADA Compliant: Yes",4
1906,1906,dc shoes black,Men's DC Shoes Bridge Black/White,"The Bridge is a low profile skate shoe that features metal lace eyelets. Features a vulcanized rubber construction for board feel and sole flex, and the outsole uses an abrasion-resistant sticky rubber.",3
1907,1907,sunglasses polarized,Women's C9 Champion Polarized Sunglasses - Pink,"C9 by Champion® Polarized Sunglasses offer the ultimate in performance styling for both the athlete, and the active lifestyle. Features polarized lenses that reduce glare, as well as a scratch-resistant hard coating. Rubber temple tips and nose pads provide comfort and grip in 100% UVA-UVB protection.",4
1908,1908,flannel sheets,Pointehaven Solid Flannel Sheet Set - XL Twin,,4
1909,1909,high heels shoes,Kate Marie Rose Goldtone Rhinestone High-heeled Shoe Earrings,High-heeled shoe designs with white and pink rhinestone embellishments dangle under bows and chains of rhinestones on these Kate Marie fashion earrings. Classic push-back clasps keep these polished rose goldtone base metal earrings secure.,2
1910,1910,men earrings diamond squared,SI .25CT Princess Cut Diamond Studs 14 Karat Yellow Gold Womens Mens Earrings,This pair of princess square cut natural diamonds are prong set in a 14k gold basket setting. Both earrings include push backs for comfortable wear. .25ct total diamond weight.,4
1911,1911,soda stream,SodaStream 1/2 Liter Orange/Green Carbonating Bottles (Twin pack),"Make refreshing carbonated beverages at home with these reusable bottles Made of high-strength, BPA-free PET to withstand carbonation. Can be reused for up to 3 years. Designed to replace store-bought soda and reduce waste created by use of cans and bottles. Includes 1 green bottle and 1 orange bottle. SodaStream(TM) Carbonating Bottles, 0.5L, Assorted Colors, Pack Of 2 is one of many Storage Containers & Sandwich Bags available through Office Depot. Made by SodaStream.",3
1912,1912,assassinss creed,PS3 Game Assassin's Creed III Steelbook Edition Sony Playstation 3 2012 SEALED!,,4
1913,1913,samsonite,Samsonite Viz Air Black 15.6-inch Laptop Backpack,"Samsonite Viz Air Carrying Case (Backpack) for 15.6"" Notebook - Black, Electric Blue - Wear Resistant - Nylon",4
1914,1914,bridal shower decorations,His Accent Pillow - White,"White satin accent pillow embroidered with ""His"" in black thread. 12"" x 12"".",1
1915,1915,longboard pads,Eco Grip Rug Saver Pad,"Provides non-slip protection under rugs
Protects floors and adds cushioning
Manufactured with earth-friendly materials
Indoor use only
Hand washable
Available in several sizes
Made in the USA
Model# V14746",1
1916,1916,silicone toe separators,Venosan VenoSheer 20-30mmHg Women's Sheer Stocking Thigh Length Open Toe,"Features
Stocking
Fiber content: 70pct Nylon, 30pct Lycra spandex
With beaded silicone top, open toe
Sheer comfort for today's fashion conscious, active woman
Compression: Firm Support (20-30 Mmhg)
Gender: Female
Style: Thigh Hi
Material: Sheer
Toe Type: Open Toe

Generic Dimensions
Overall dimensions: 8'' H x 5'' W x 1.5'' D

Dimensions
Overall Height - Top to Bottom: 8 Inches
Overall Width - Side to Side: 5 Inches
Overall Depth - Front to Back: 1.5 Inches",1
1917,1917,macbook case 13 case,"Case Logic Black Foam Case for 13 & 15"" MacBook Pro/13""-14"" Laptop""",,4
1918,1918,plantronics corded headset,NEW Plantronics M22 VISTA Amplifier and H141N Headset w/cord,,4
1919,1919,cat grass,"Purina Cat Chow, Dry Cat Food, Naturals Plus Vitamins & Minerals, 13 lb Bag",Animal feeding tests using AAFCO procedures substantiate that Purina Cat Chow Naturals provides complete and balanced nutrition for maintenance of adult cats.,2
1920,1920,san francisco 49ers,San Francisco 49ers Men's Wallet & Watch Gift Set,"San Francisco 49ers gift set. The watch features a Sunray dial with UP markers and printed logo in center, fully customized dial, vinyl strap with stainless steel buckle, alloy case with stainless steel case back, Quartz movement, and is water restistant up to 3 ATM (99 ft.) Limited lifetime warranty. Wallet is of leather construction and features large embossed 49ers logo.",3
1921,1921,toaster oven,Cuisinart Toaster Oven Broiler with Convection TOB-60N,"Cuisinart Toaster Oven Broiler with Convection. Convection to cook faster and more evenly. Industrial styling that looks great on any counter. 1800 Watts of power. 7 functions include toast, bake, broil, convection bake, warm and more. Precise toast shade control. Cuisinart Toaster Oven Broiler with Convection has Exact Heat Sensor technology. Easy clean interior. Fits 12"" pizza. Stainless Steel housing. Baking pan and rack included.",4
1922,1922,memory foam pillow,Cooling Liquid Gel Memory Foam Pillow,"Exclusive Dough formula creates a softer, more supportive memory foam that conforms perfectly to your natural curves. A cooling liquid Z Gel layer extends across the top of the Dough memory foam, capturing and dissipating body heat for a cooler night's rest. Underneath the Z Gel is soft memory foam shaped in an ergonomic contour design that correctly aligns the spine. Accompanying the pillow is a luxuriously soft rayon from bamboo velour cover, excellent for sensitive skin and temperature regulation.",4
1923,1923,coffee cup,Caribou Coffee Caribou Blend Decaf Coffee K-cup Portion Pack,"Achieving balance in life is a challenge. Caribou Coffee's signature blend meets that challenge, balancing a big-bodied, syrupy taste with a clean, snappy finish. The secret of this blend's relaxed complexity is a rich hearty Indonesian bean, perfectly proportioned with Central American and South American varieties for lively fruit tones. The result is a coffee with universal appeal, delightful any time of the day or night. This coffee has been decaffeinated through water process. This signature blend balances a big-bodied, syrupy taste with a clean, snappy finish. All natural, no chemical decaffeination in the process.",2
1924,1924,ipad 2 heavy duty case,Belkin Stripe Cover for iPad Air 2 and iPad Air - Plum (F7N252B1C01),,3
1925,1925,projector,"Apollo - Model 16000 Overhead Projector, 2000 Lumens, 14 1/2 x 15 x 27","2000 lumens of brightness provides crystal clear projections in even the lightest rooms. Lightweight and compact design saves space and stores easily. Built-in storage compartments for power cord, projector head, and post for maximum convenience. Fold-down arm keeps your projector safe when not in use. 10"" x 10"" staging area gives you room to maximize your message. Open singlet projection head ensures easy cleaning.",4
1926,1926,phillips coffee maker,Keurig Water Filters - 2 pack,"This Water Filter Cartridge Refill pack includes two replacement filters for your Keurig® Water Filter Starter Kit accessory (sold separately). Simply place a cartridge into the Water Filter Assembly and insert into your water reservoir. For best results, replace your water filter cartridge every 2 months or 60 tank refills.",2
1927,1927,16 gb memory card,"Wintec Filemate 16GB SDHC Weatherproof Memory Card Class 6, Purple","The Wintec FileMate 16GB SDHC Memory Card allows you to capture photos in any season. It features patented injection molding that creates an air-tight, waterproof seal to protect its digital contents. This camcorder SDHC card comes with 16GB of memory space to securely store plenty of photos, videos and music. It enables your camcorder to record videos at high data rates. This Class 6 SDHC memory card includes a write-protection lock that prevents accidental deletion of your data. The DSLR SDHC card is compatible with most file formats and operating systems.",4
1928,1928,rice cooker,Zojirushi Micom Rice Cooker & Warmer NS-WRC10,,4
1929,1929,duffle bag,"Rockland 36 Rolling Duffle Bag - Camo""","Transport your belongings with style and ease in this 36"" Rolling Duffel Bag from Rockland. It features a full-size, U-shaped zipper opening; zippered exterior pockets; a self-fabric grip handle with hook-and-loop closure; a comfort-grip handle; a removable, adjustable shoulder strap; heavy-duty polyester construction and large, inline-skate wheels for stable motion.",4
1930,1930,hawaiian shirt,Men's O'Neill Maya Bay Orange,"Perfect for all summer festivities, the Jack O'Neill Maya Bay Hawaiian print button up shirt is lightweight, breathable, and finished off with wooden button detail.",4
1931,1931,snow boots,Rck Bella Rossi-2 Infant Baby Girl's Stylish Snow Boots,"Give your little one some extra style with these cute short snow boots. The soft faux suede upper, round toe, fully fur lined interior, light rubber outsole make these boots flexible, comfortable and great for all-day wear.",4
1932,1932,pots and pans set,Alpine Stainless Steel Big 8-piece Stock Pot Set,The Alpine Cuisine Stainless Steel Stockpot Set is versatile enough for cooking a batch of chili or gallons of soup. Durable stainless steel provides lasting use and the set comes in sizes to meet large cooking needs.,3
1933,1933,fuji bike shirt,Asics 2015 FujiTrail Backpack - Z122998,"esigned for runners who want to take it off-road, this lightweight backpack is constructed to adjust to a comfortable fit and house a long run's essentials including water, gels, change of shirt, extra hat, etc.
Lightweight ripstop running pack; Breathable mesh shoulder straps
External pockets, including easy access strap pockets and gel loops
Bladder pocket for hydration stowage; Ergonomic shaped zipper pulls
Featured in the ASICS FujiTrail Collection
Volume capacity: 6L Fabric 100% 210D Polyester Ripstop",3
1934,1934,crocs,Turboion Croc Premium 1.5-inch Digital Titanium Flat Iron,,4
1935,1935,kitchenaid mixer,BRAND NEW SEALED KitchenAid Artisan 5 Qt Stand Mixer KSM150PSMC Metallic Chrome,,4
1936,1936,bike for children,Tour de France Kid's Wooden Balance/ Running Bike,The Tour de France Wooden balance bike is the ideal introduction to two wheel bicycles. A low sitting frame allows children to place their feet on ground and walk comfortably while learning to balance without the fear of falling.,3
1937,1937,rachel ray cookware,Rachael Ray 2-Piece Stoneware Bubble & Brown Baker Set,,2
1938,1938,projector,NEC Display Projector Lamp,NEC Display Projector Lamp,2
1939,1939,aveeno shampoo,Aveeno Baby Wash & Shampoo Lightly Scented - 12 Oz,"Aveeno Baby Wash & Shampoo contains natural oat extract blended into a rich lathering cleanser that cleans without drying because it is soap-free and hypoallergenic. This tear-free formula can be used on skin and hair for gentle cleansing that rinses clean with a soft, fresh fragrance. Aveeno Baby Wash & Shampoo is even gentle enough for newborns and babies with sensitive skin. It can be used every day to help keep your baby's skin soft, smooth and healthy.",4
1940,1940,cargo shorts,Men's Dickies 15in Loose Fit Multi-Pocket Work Short Khaki,"These loose-fit work shorts from Dickies require no ironing, and feature an extra pocket on the leg, stain release, distinctive tunnel belt loops, multi-use side pocket, and logo label on the left leg.",3
1941,1941,steel necklace,New Gift Unisex's Men Black Silver Stainless Steel Cross Pendant Necklace Chain,,3
1942,1942,chocolate molds,Leaf Chocolate Mold,"High-quality plastic mold is FDA approved and is suitable for chocolate, soap making, plaster and concrete crafting. This mold makes approximately 40 pieces per pound of chocolate. Each piece is 2.375"" x 1.375"" x .125"". Eleven cavities per mold. Not to be used for candy centers, hard candy or other hot ingredients. Liquefied chocolate should not exceed 120°F (49°C) when poured into mold. Hand wash only",4
1943,1943,wreck it ralph,Wreck It Ralph - Nintendo Wii,"Get ready for classic arcade Video game action with a whole new modern look and feel in the Wreck-It Ralph video game. As a story extension to the Walt Disney Animation Studios film, Wreck-It Ralph is set to inspire a whole new generation of young gamers as a classic, arcade-style side-scroller featuring Ralph, the misunderstood villain of his own arcade game who sets out to prove he can be a hero too.- -The game picks up where the movie leaves off as Ralph partners with Fix-It Felix and sets out to save their friends and home from a huge Cy-Bug invasion. Pounding through all-new levels in the ""Wreck-It Ralph"" universe, like Sugar Rush, Hero's Duty, and Fix-It Felix, Jr., players will have to use Ralph's destructive strength to beat by the Cy-Bugs, while switching back to Felix to repair the damage. With story campaign and Two-player co-op on the Wii platform, players can switch between Ralph and Felix to solve action-packed puzzles and collect ""Hero Medals"".-Use Wreck-It Ralph?s brawn to destroy obstacles or Fix-It-Felix?s magical hammer to repair them!-Venture through four distinct backdrops based on the featured film; from Sugar Rush to Hero?s Duty, every world is unique but equally action-packed and fun!-Find and accumulate collectibles like Hero Medals and Easter Eggs that you can display in your trophy collection!-Beat the game? No problem! Play it again and discover more challenging levels under a new set of rules!",4
1944,1944,road bicycle,Tour De France Stage One Elite Bike,"This Stage One Elite bicycle is built for serious miles with a light, alloy frame. This bike shifts with the tap of a finger through 16 gears with Shimano's 2300 front and rear derailleurs and shifters.",3
1945,1945,zippo hand warmer,Zippo Manufacturing 40306 Zippo Chrome Hand Warmer,,4
1946,1946,cleaning robot,NEW O-Duster Robot Automatic Mop Robotic Floor Cleaner Pet Clean,,4
1947,1947,tv,Samsung REMANUFACTURED SAMSUNG 32 Inch FULL 1080P HDTV 120 CMR LED W/ WIFI and Smart TV HDTV-UN32H5201A,"With the Samsung H5201, you won’t believe your screen. Witness a wider spectrum of colors with Wide Color Enhancer Plus. See every detail of fast, action packed TV shows and movies with a motion clarity of Clear Motion Rate 120.",4
1948,1948,assassinss creed,Assassin's Creed: Unity (Xbox One),"Paris, 1789. The French Revolution turns a once-magnificent city into a place of terror and chaos. Its cobblestone streets run red with the blood of commoners who dared to rise up against the oppressive aristocracy. As the nation tears itself apart, a young man named Arno will embark on an extraordinary journey to expose the true powers behind the Revolution. His pursuit will throw him into the middle of a ruthless struggle for the fate of a nation, and transform him into a true Master Assassin. 

Introducing Assassin’s Creed® Unity, the next-gen evolution of the blockbuster franchise powered by an all-new game engine. From the storming of the Bastille to the execution of King Louis XVI, experience the French Revolution as never before, and help the people of France carve an entirely new destiny.",4
1949,1949,zippo,"Flints, Card Of 6","Zippo Flints, 6 Per Card, 24pk",2
1950,1950,flea and tick control for dogs,shoo! Tag Dog Flea & Tick Repellent (Pack of 4 tags; 2 flea repellent tags and 2 tick repellent tags),"The natural shoo!Tag Dog Flea & Tick Repellent tags are easy to use - simply remove from the packaging and attach to the dog's collar with the provided split ring...that's it! No toxic chemicals means there are no side-effects of any kind, our shoo!Tag Dog Flea & Tick Repellent tags are 100% safe and free of toxins. Each tag has an electromagnetic strip that starts working effectively after 24 hours and repels fleas for up to 4 months. Effective, economical and eco-friendly the shoo!Tag Dog Flea & Tick Repellent uses your dog's own bio-energetic field to create a three dimensional electromagnetic barrier around your pet. Each type of shoo!Tag is calibrated to specific animals and specific insects to repel targeted pests. Shoo!Tag products are waterproof (including saltwater).

The eco-friendly shoo!Tag is made of biodegradable, recycled plastic and are printed with soy inks. When your shoo!Tag Dog Flea & Tick Repellent has diminished in efficacy you can return it to shoo!Tag to be recycled.",4
1951,1951,cleaning robot,iRobot Roomba 880 Vacuum Cleaning Robot for Pets and Allergies 800 Series,,4
